"CM1" "CM2" "CM3" "CM4" "CM5" "CM6" "CM7" "CM8" "CM9" "CM10" "CM11" "CM12" "CM13" "CM14" "CM15" "CM16" "CM17" "CM18" "CM19" "CM20" "CM21" "CM22" "CM23" "CM24" "CM25" "CM26" "CM27" "CM28" "CM29" "CM30" "CM31" "CM32" "CM33" "CM34" "CM35" "CM36" "CM37" "CM38" "CM39" "CM40" "CM41" "CM42" "CM43" "CM44" "CM45" "CM46" "CM47" "CM48" "CM49" "CM50" "CM51" "CM52" "CM53" "CM54" "CM55" "CM56" "CM57" "CM58" "CM59" "CM60" "CM61" "CM62" "CM63" "CM64" "CM65" "CM66" "CM67" "CM68" "CM69" "CM70" "CM71" "CM72"
"Telefonica" 35.588095238 48.245238095 48.656521739 31.645555556 27.165454545 21.91 14.454 18.006086957 21.082857143 16.083181818 14.070909091 12.146842105 14.354545455 14.255 10.792272727 9.6842105263 10.638181818 4.7811111111 3.04 2.3095652174 1.1235 1.4895652174 2.1445454545 1.7172222222 1.6804545455 1.5245 1.6285 1.4738095238 1.4245454545 1.3 1.2145454545 1.1168181818 1.4795238095 1.6165217391 1.6476190476 1.6295 1.6122727273 1.519 1.5114285714 1.4285 1.4376190476 1.7804761905 1.7473913043 2.2823809524 2.835 2.6195652174 2.893 2.9638095238 3.6366666667 5.1795 4.7 4.545 3.9642857143 4.0172727273 4.1986363636 3.8536363636 3.9413636364 3.869047619 3.905 3.9647826087 4.159047619 4.119 4.1928571429 4.1885714286 4.3754545455 4.2895454545 4.3995238095 5.4834782609 5.4872727273 5.88 5.8422727273 5.5461904762
"Tessi" 24.674285714 28.934285714 29.194347826 24.565 23.041818182 21.798571429 23.789 22.653478261 22.857142857 21.805454545 20.477272727 18.261578947 19.735454545 18.79 18.193636364 18.61 18.449090909 16.1995 13.757272727 13.206086957 11.2515 12.582608696 14.992727273 15.226666667 14.346818182 12.979 13.3915 12.482857143 11.245454545 9.474 8.8056521739 9.3381818182 8.5414285714 8.4995652174 9.74 9.2095 9.5422727273 8.8815 8.720952381 9.6025 9.4795238095 10.045238095 10.07 10.608571429 10.788181818 10.596521739 10.7155 11.251904762 12.638095238 13.014 12.622608696 12.7745 11.914761905 12.000454545 11.984545455 11.532272727 11.950909091 12.703333333 13.090454545 13.697826087 13.743333333 14.1795 13.835714286 13.281904762 13.455 13.566818182 13.574761905 13.715217391 13.58 13.775238095 12.699090909 12.576666667
"Thales" 51.102380952 60.304761905 81.867391304 69.466666667 72.504545455 72.05 77.0825 76.895652174 78.119047619 63.156818182 58.275 55.144736842 58.825 49.6895 43.513636364 42.019473684 41.915 37.573 33.99 34.593043478 25.3945 24.542608696 28.611818182 28.315 28.805909091 26.37 33.281 34.585238095 33.269090909 29.124 25.282173913 21.973636364 22.713809524 24.081304348 27.22952381 26.8 24.797727273 21.7625 21.582857143 24.86 25.039047619 26.436190476 27.381304348 27.454285714 27.328636364 26.020869565 25.9255 27.437142857 29.295238095 28.7395 26.57 26.665 25.316666667 25.922272727 24.254545455 22.610454545 23.817727273 23.093333333 23.986818182 23.531304348 24.75 25.021 24.599047619 23.155714286 21.947272727 21.953181818 22.284285714 22.489130435 21.774545455 21.731428571 21.378181818 22.870952381
"Tharreau" 36.305714286 43.968571429 46.015652174 41.093888889 39.225909091 42.888571429 44.246 47.6 48.681428571 48.273181818 51.987272727 52.210526316 48.438636364 44.905 44.917272727 46.824736842 46.815454545 45.9615 43.270454545 42.974347826 41.0885 42.653043478 40.946363636 38.840555556 38.062272727 38.0535 39.944 41.557142857 43.605454545 42.3165 39.970869565 39.056818182 35.227142857 27.656521739 26.771904762 26.422 26.613181818 24.0075 21.114761905 22.386 23.613333333 25.59952381 26.632608696 27.253333333 25.767272727 24.24 25.3365 26.396666667 27.933809524 30.2045 30.660434783 31.763 29.467142857 29.361363636 28.985454545 27.752272727 27.895909091 27.361904762 31.493181818 34.070434783 35.047142857 34.531 32.752857143 32.472857143 32.401818182 33.921363636 33.385238095 35.42826087 37.560909091 37.10952381 36.784545455 38.131904762
"Thermador" 9.3185714286 10.702857143 12.636956522 12.777777778 13.182272727 12.911904762 12.709 13.327826087 13.97952381 13.293636364 13.424545455 13.818947368 13.408636364 13.697 15.510454545 15.554210526 16.043181818 16.259 16.033636364 15.890434783 16.0485 15.673043478 14.835 14.117222222 14.559545455 13.754 13.0985 13.356190476 13.275454545 13.178 11.973636364 11.965454545 11.797894737 12.792173913 14.111428571 14.244210526 14.403636364 13.9855 12.778571429 12.972 14.122 15.340952381 15.054347826 15.495714286 16.391428571 16.449130435 16.8625 17.218 16.980952381 17.374444444 19.102142857 18.328125 20.206666667 20.364761905 20.573333333 20.235263158 20.608666667 20.556153846 20.671052632 20.47 20.586666667 21.785555556 21.103684211 20.343888889 20.167894737 20.527 19.0085 19.418181818 19.483636364 19.67952381 19.908095238 19.572380952
"Thermocompact" 47.408095238 47.264285714 50.067391304 43.128333333 42.887272727 42.928095238 42.5995 44.43 45.485714286 44.142727273 44.169090909 44.248947368 48.688181818 52.3825 54.727272727 49.755789474 49.854090909 51.0525 52.597727273 53.673913043 50.4945 50.443478261 51.388181818 54.038888889 56.829545455 55.6525 55.9975 54.219047619 51.879545455 51.245 51.013043478 51.375 51.146666667 49.805217391 50.572380952 52.43 54.093181818 55.455 55.171428571 53.37 51.8225 52.764285714 55.241304348 59.469047619 62.963636364 62.632608696 65.185 66.4425 69.65952381 75.6125 85.984782609 84.535 81.7675 84.470454545 87.538095238 87.988095238 88.927272727 91.821428571 86.111363636 83.308695652 87.728571429 95.8025 100.47619048 97.3 92.725 91.15 92.85952381 94.439130435 99.886363636 99.211904762 98.563636364 99.521428571
"Thomson" 13.205714286 13.543333333 13.168695652 13.728333333 16.003181818 15.957142857 15.582 15.857826087 15.13952381 16.22 15.965454545 16.338421053 17.151904762 20.045 19.1 18.645263158 18.921904762 17.725 15.558181818 17.060434783 17.606 16.618571429 15.876 15.291176471 15.94047619 15.877 16.7625 18.275238095 16.671428571 15.68 15.068 13.507727273 10.925 8.3986956522 8.9485 8.6621052632 8.1640909091 7.474375 5.4061904762 4.991 6.5480952381 6.7180952381 6.3059090909 6.319047619 7.5968181818 8.0572727273 8.0805555556 8.696 11.582105263 14.3945 12.713478261 11.0005 11.378666667 12.171428571 12.401578947 12.413809524 12.475 12.969 13.137727273 13.514782609 15.239047619 19.036 18.063 17.306190476 16.07 17.161904762 17.148235294 15.943 14.833809524 13.4285 11.669411765 11.794444444
"Tipiak" 29.097619048 56.656190476 62.615217391 50.844444444 53.929545455 61.478571429 69.18 73.884782609 65.235714286 52.765909091 48.929545455 48.977368421 52.111818182 49.3675 41.965 39.433157895 48.604090909 41.804 35.837272727 34.610869565 23.551 24.880869565 30.379545455 33.09 34.979545455 31.3375 33.779 32.865238095 29.856818182 24.534 23.304782609 23.211363636 17.678095238 16.009565217 18.264761905 18.509 16.155 14.0005 11.375238095 11.8855 13.365238095 14.15047619 13.862608696 14.851904762 16.646363636 16.313043478 17.998 17.291428571 17.366666667 16.421 15.115217391 16.2085 15.552380952 15.825909091 15.129545455 15.619545455 15.953636364 17.324761905 17.998181818 19.063913043 19.062857143 19.822 20.632380952 20.194761905 19.819545455 20.660909091 19.688571429 18.719565217 18.154090909 16.594761905 16.751363636 18.048571429
"Tld-G" 17.32047619 18.180952381 16.573913043 16.669411765 17.542727273 17.357619048 17.345789474 17.635454545 17.299047619 15.043636364 14.867727273 14.834210526 14.582727273 15.1555 14.767272727 13.773157895 14.370454545 14.096 13.735454545 13.147391304 11.850526316 10.786086957 10.649545455 10.753333333 10.687272727 10.572222222 12.858 13.368 13.338181818 14.1245 15.097391304 14.131666667 13.297 12.128695652 11.39047619 11.821578947 11.518181818 11.2685 10.96952381 10.786 11.18047619 12.244761905 13.362173913 13.358095238 14.129444444 14.835217391 14.9875 14.6335 14.262380952 14.6955 15.33 14.891052632 14.492105263 15.587727273 15.126818182 15.478571429 15.971904762 17.356 19.585909091 19.490869565 21.506666667 25.26 25.546190476 24.5705 23.963181818 23.168181818 24.358095238 25.078695652 24.565454545 23.506190476 20.844545455 21.508571429
"Tonna" 13.795714286 12.482380952 11.12826087 13.235555556 14.464090909 14.538095238 15.067 17.922608696 19.272857143 18.734545455 17.974545455 15.816315789 15.495454545 15.0415 14.165909091 12.866315789 13.480454545 12.93 12.835 12.921304348 12.0775 8.6834782609 8.1240909091 7.7322222222 8.1640909091 8.06 8.262 8.93 9.1640909091 8.9755 9.0573913043 9.0995454545 9.1247368421 8.9152173913 8.5704761905 7.6373684211 7.0652631579 6.47 5.4105 3.972 4.4495238095 5.0404761905 5.5113636364 4.7895238095 5.1161904762 5.39 7.526 7.1631578947 7.3166666667 8.235 7.3926086957 7.7878947368 8.0223809524 7.9527272727 8.0690909091 7.8913636364 8.2918181818 8.219047619 8.5413636364 8.6427272727 9.5619047619 13.3785 11.985238095 12.35 11.860909091 12.069545455 12.291578947 13.552173913 13.178636364 14.247619048 15.03 15.068571429
"Total" 19.494285714 18.30952381 17.474782609 17.412777778 17.683181818 19.230952381 19.2095 20.844347826 24.032857143 23.063636364 23.197272727 23.22 25.824090909 26.6095 26.991818182 25.285263158 26.002727273 27.1485 26.615909091 26.533043478 24.269 20.863913043 22.356363636 24.189444444 25.604090909 26.7135 27.031 26.341428571 25.662727273 24.109 23.673478261 22.82047619 20.616666667 18.704782609 18.868095238 18.443 17.757272727 16.5065 15.205714286 13.647 15.375238095 15.967619048 15.316521739 17.965714286 17.815 17.797391304 16.89 17.454761905 18.560952381 18.942 21.086086957 21.843 21.730952381 20.262727273 20.785 20.401363636 19.547727273 19.748095238 19.956363636 20.786086957 22.898571429 23.7675 23.912857143 23.921428571 23.722272727 25.659090909 26.289047619 26.926086957 27.344090909 28.184761905 27.422272727 27.160952381
"Touax" 127.08095238 138.27142857 144.67391304 158.07777778 164.97272727 163.4 161.31 169.43913043 175.4952381 172.01818182 166.34090909 152.77368421 153.47727273 158.045 152.68181818 159.32105263 169.45909091 171.8 158.99545455 161.3173913 150.655 153.77391304 149.51363636 149.80555556 156.54545455 163.73 171.8 170.81904762 168.41363636 157.4 149.32173913 145.41363636 137.59047619 138.10869565 137.16190476 132.685 129.53181818 122.005 119.56190476 122.645 123.14761905 133.03333333 130.96086957 137.58095238 138.28636364 134.28695652 134.285 141.08095238 145.16666667 143.835 148.82173913 157.605 155.7047619 158.71818182 158.31363636 158.41818182 164.75454545 166.27142857 165.67272727 161.05652174 161.7 172.21 180.56190476 178.59047619 176.25 189.49545455 203.6952381 208.98695652 219.76818182 210.42857143 214.67272727 216.02380952
"Toupargel" 79.34047619 79.738095238 83.506521739 85.732352941 87.640909091 89.076190476 90.65 90.609090909 90.588095238 89.963636364 89.671428571 89.842105263 89.490909091 90.005 92.522727273 92.652777778 93.554545455 99.1275 98.4 89.210869565 80.0025 82.008695652 86.031818182 80.122222222 85.575 80.2175 84.6525 89.147619048 86.420454545 87.42 87.160869565 85.702272727 85.104761905 84.934782609 83.664285714 81.471052632 79.097727273 77.96 78.830952381 79.72 79.10952381 86.202380952 85.082608696 87.95 88.754545455 89.02173913 88.445 85.985 83.492857143 84.035 86.695652174 88.86 89.545238095 89.311363636 89.525 89.543181818 92.370454545 92.671428571 95.497619048 93.654347826 96.1 96.6175 96.621428571 94.952380952 91.695454545 89.956818182 93.645238095 99.563043478 98.547727273 96.161904762 93.963636364 95.795238095
"T-Eiffel" 4.279047619 4.3080952381 5.4157142857 5.31 5.0759090909 5.0047619048 4.7795 4.5086956522 4.15 4.3327272727 4.17 4.2294736842 4.1877272727 4.1255 4.1381818182 4.2352631579 4.3681818182 4.474 4.3404545455 4.1556521739 3.502 3.4056521739 3.7690909091 3.8672222222 3.9581818182 4.3705 4.4295 4.3623809524 4.6645454545 4.376 4.3630434783 4.2133333333 3.9471428571 3.7860869565 3.760952381 3.768 4.5745454545 5.6425 5.2152380952 5.402 6.9266666667 8.8228571429 9.2191304348 10.43 12.797727273 13.896086957 14.7475 16.314285714 18.814285714 20.295 21.521304348 20.4015 20.805714286 22.883181818 23.125454545 21.473636364 28.924545455 32.752857143 29.255454545 28.538695652 29.126190476 29.92 33.181428571 32.514761905 32.841363636 32.202272727 31.136190476 28.859565217 31.210454545 31.398571429 32.181363636 34.287619048
"Trigano" 45.292857143 69.3675 84.360869565 64.030555556 68.979545455 61.264285714 55.87 53.606521739 50.10952381 34.841818182 37.272272727 32.496842105 30.813181818 30.21 15.568636364 15.142631579 11.3 9.911 8.5540909091 8.3647826087 6.5605 6.5460869565 6.2990909091 6.6944444444 7.9577272727 8.01 8.776 8.3471428571 7.3454545455 6.095 5.53 4.935 3.6928571429 3.3447826087 4.647 5.7555 5.0359090909 4.812 3.8575 3.595 3.9952380952 5.9004761905 6.83 6.2938095238 6.69 6.6665217391 7.1205 6.6461904762 6.4452380952 8.1565 9.1747826087 10.371 8.57 8.0631818182 7.8427272727 5.6695454545 5.5418181818 5.1742857143 4.92 6.7234782609 6.5419047619 6.6665 6.8761904762 7.3633333333 7.4495454545 6.9836363636 7.7047619048 7.1865217391 7.1709090909 6.8923809524 7.0068181818 7.1785714286
"N-Pierchon" 17.395238095 21.292380952 22.886086957 23.781111111 24.162727273 24.715238095 27.548 28.12173913 29.008095238 26.706363636 30.526363636 36.125263158 38.757272727 48.1545 45.49 44.433684211 44.877272727 43.085 37.503181818 33.428695652 21.793 20.019565217 24.394545455 31.966666667 36.071818182 38.1915 37.3755 38.105714286 37.77 40.1345 33.693913043 32.102727273 26.768095238 24.712173913 29.684761905 27.333 24.395909091 19.808 18.503809524 21.3285 25.425714286 29.043809524 30.155652174 33.189047619 33.738636364 34.923043478 34.5125 35.938571429 39.491428571 40.9475 42.535652174 41.812 43.042380952 44.195 42.827272727 40.616818182 41.011363636 45.699047619 48.511818182 55.610869565 33.018571429 34.475 34.561904762 34.352380952 34.928636364 36.337727273 34.071904762 34.692173913 37.335909091 36.85047619 36.569545455 38.015714286
"Ubi-Soft" 1.0522222222 1.2426315789 1.209047619 1.31125 1.2872727273 1.2561904762 1.347 1.6039130435 2.0688235294 2.0571428571 1.8763636364 2.0026315789 2.1276190476 2.2055 2.3018181818 2.3488888889 2.3154545455 2.0978947368 1.99 2.195 1.7894444444 1.82 2.0081818182 2.0388235294 2.2440909091 2.2305 2.1365 2.1533333333 2.335 2.431 2.4895652174 2.4322727273 2.4419047619 2.3326086957 2.3719047619 2.1447368421 2.0081818182 1.9310526316 1.7765 1.705 2.3105555556 2.4628571429 2.2763636364 2.4725 2.5714285714 2.9543478261 3.264 3.398 4.3635 5.2526315789 5.2173913043 5.149 5.2415789474 5.726875 7.1045 7.4431818182 7.7686363636 8.6104761905 9.0518181818 10.477826087 11.010952381 11.7185 12.288095238 12.904761905 12.015 11.12 10.127142857 11.034347826 11.299545455 11.193333333 10.69 11.5155
"Medea" 45.224761905 74.616666667 78.52173913 54.369444444 49.782272727 44.172380952 38.1435 44.19 55.919047619 49.187727273 46.900454545 37.945263158 40.422272727 42.082 34.125 37.86 44.695454545 41.4305 38.89 41.882608696 30.781 32.696956522 39.424545455 38.373333333 37.394090909 33.3335 33.8085 31.602380952 30.276818182 24.7435 14.636086957 15.061363636 13.09952381 9.8291304348 14.3 13.832 10.635 11.9045 10.653809524 11.965 15.849047619 17.186666667 16.9 17.863809524 19.016363636 21.920869565 27.0935 22.92952381 22.198095238 17.3155 19.485217391 21.8555 21.31047619 19.781363636 18.355 16.909545455 16.607727273 15.415714286 16.116363636 20.367391304 28.278095238 32.303 30.964761905 31.172380952 33.381818182 39.512272727 43.824285714 43.765652174 42.077727273 41.54047619 39.816363636 40.196190476
"Unibel" 44.853809524 44.851904762 44.204347826 45.042777778 47.187727273 45.924761905 49.0135 53.243913043 56.23952381 54.116818182 53.516818182 55.340526316 57.929090909 61.809 60.015 59.093157895 61.860909091 62.265 64.084090909 60.923913043 54.7375 56.35 58.086363636 56.141666667 57.061363636 58.6375 60.7425 62.807142857 67.897727273 65.8325 64.308695652 63.684090909 61.278571429 57.808695652 59.145238095 65.44 64.690909091 60.135 57.119047619 57.83 60.435714286 63.226190476 64.767391304 67.164285714 68.590909091 67.715217391 70.22 73.721428571 76.611904762 79.2 82.67173913 82.7575 79.34047619 83.543181818 86.395454545 90.518181818 97.088636364 100.1 106.05454545 112.73478261 95.385714286 94.79 90.602380952 94.302380952 99.263636364 104.30909091 110.87619048 117.16521739 118.47727273 114.10952381 110.27272727 109.76666667
"U-Fin-F" 115.89 150.45238095 159.26956522 125.73888889 113.84545455 106.51904762 98.205 114.15869565 127.15714286 112.8 101.7 94.381578947 96.713636364 111.305 98.322727273 91.084210526 102.98181818 94.8075 77.279545455 78.893478261 60.81 61.319565217 65.995454545 70.563888889 72.993181818 74.49 81.5125 73.157142857 66.688636364 51.205 41.765217391 31.740909091 24.025238095 25.921304348 33.455714286 34.7945 31.240454545 25.9965 26.430952381 31.96 34.733809524 35.105238095 33.22 35.943333333 39.527272727 41.191304348 45.4495 44.92 46.733809524 46.213 44.010869565 43.634 41.46 41.098636364 43.872727273 43.403636364 42.924545455 46.37047619 49.056363636 49.013043478 53.502380952 56.12 55.702380952 53.197619048 52.066363636 55.022727273 61.35 64.917391304 69.059090909 72.164705882 72.702631579 72.35
"UT-Infor" 29.66 35.360952381 37.518695652 37.291111111 39.25 41.3645 42.372 46.349545455 49.562857143 49.260909091 47.108095238 42.238421053 45.19 48.2835 47.941363636 46.142631579 43.127727273 39.455 35.518636364 34.556086957 29.0585 33.854782609 33.585454545 35.197777778 35.135454545 34.9275 34.7225 39.008095238 34.323636364 30.543 28.962608696 25.935909091 27.057619048 21.722173913 21.699047619 20.13 22.758181818 21.292 18.987619048 20.6905 20.343809524 22.228571429 24.069565217 25.833809524 27.434545455 26.36173913 25.851 26.246666667 26.896666667 31.867 32.993913043 34.901 32.392380952 30.685909091 31.944545455 30.750909091 32.162272727 32.522857143 30.391363636 30.949565217 33.788095238 37.763 38.230952381 36.097142857 36.077727273 36.563181818 36.825714286 38.992173913 40.017272727 39.305238095 37.563181818 37.631904762
"Valeo" 6.11875 17.560625 39.596363636 22.252142857 22.9355 23.621904762 19.28 17.5845 18.645 14.6065 12.408181818 11.828333333 11.824 9.6845 8.4277272727 5.6527777778 6.3909090909 5.84 5.19 4.7052173913 2.7865 3.4517391304 2.4390909091 1.6888888889 1.4763636364 1.397 1.3705 1.3066666667 1.1709090909 0.9465 0.6052173913 0.8172727273 0.766 0.505 0.4404761905 0.5115 0.5344444444 0.3853333333 0.3184615385 0.3354545455 0.4761111111 0.6453846154 0.5719047619 0.56 0.5265 0.5790909091 0.6772222222 0.635625 0.6575 0.7161111111 0.6941666667 1.0557894737 1.17625 0.89 0.7995454545 0.6795 0.6163636364 0.6635 0.5740909091 0.5330434783 0.5180952381 0.6505263158 0.6533333333 0.5584210526 0.5310526316 0.5327777778 1.0776190476 1.3117391304 1.4695454545 1.2804761905 1.3259090909 1.299047619
"Vallourec" 74.147619048 59.802380952 52.391304348 58.794444444 60.322727273 56.707142857 55.02 55.532608696 54.865238095 47.672727273 54.222727273 49.811578947 48.977727273 53.6825 53.468636364 49.104210526 50.956818182 48.2015 48.611818182 50.826086957 39.512 37.51173913 41.592727273 42.219444444 45.157727273 46.508 49.8845 50.80952381 47.600454545 43.843 37.792173913 39.319090909 34.169047619 28.291304348 28.774285714 30.277 28.603636364 26.3355 23.44952381 23.257 25.504761905 27.069047619 32.566521739 32.933333333 34.427727273 32.833043478 32.4235 31.233809524 33.564761905 35.1815 35.01826087 34.31 33.447142857 33.068636364 32.779545455 32.648636364 32.420909091 28.52 29.764090909 29.595652174 31.843333333 34.156 35.19 34.60952381 33.72 35.865454545 35.98 34.496956522 33.672727273 32.92 31.475 31.626190476
